AAcomp_A,AAcomp_R,AAcomp_N,AAcomp_D,AAcomp_C,AAcomp_Q,AAcomp_E,AAcomp_G,AAcomp_H,AAcomp_I,AAcomp_L,AAcomp_K,AAcomp_M,AAcomp_F,AAcomp_P,AAcomp_S,AAcomp_T,AAcomp_W,AAcomp_Y,AAcomp_V,AAindex_ARGP820101_avg,AAindex_BULH740101_avg,AAindex_CHAM820102_avg,AAindex_CIDH920105_avg,AAindex_EISD840101_avg,AAindex_EISD860101_avg,AAindex_EISD860102_avg,AAindex_EISD860103_avg,AAindex_FAUJ830101_avg,AAindex_GOLD730101_avg,AAindex_GUYH850101_avg,AAindex_HOPT810101_avg,AAindex_JANJ790102_avg,AAindex_JOND750101_avg,AAindex_KYTJ820101_avg,AAindex_LAWE840101_avg,AAindex_LEVM760101_avg,AAindex_MANP780101_avg,AAindex_MIYS850101_avg,AAindex_NOZY710101_avg,AAindex_OOBM770101_avg,AAindex_OOBM770102_avg,AAindex_OOBM770103_avg,AAindex_OOBM770104_avg,AAindex_OOBM770105_avg,AAindex_OOBM850103_avg,AAindex_OOBM850104_avg,AAindex_PONP800101_avg,AAindex_PONP800102_avg,AAindex_PONP800103_avg,AAindex_PRAM900101_avg,AAindex_RADA880101_avg,AAindex_RADA880102_avg,AAindex_RADA880103_avg,AAindex_RADA880104_avg,AAindex_RADA880105_avg,AAindex_ROBB790101_avg,AAindex_ROSM880101_avg,AAindex_ROSM880102_avg,AAindex_SIMZ760101_avg,AAindex_SWER830101_avg,AAindex_VHEG790101_avg,AAindex_WERD780102_avg,AAindex_WERD780103_avg,AAindex_WERD780104_avg,AAindex_YUTK870101_avg,AAindex_YUTK870102_avg,AAindex_YUTK870103_avg,AAindex_YUTK870104_avg,AAindex_ZIMJ680101_avg,AAindex_PONP930101_avg,AAindex_WILM950101_avg,AAindex_WILM950102_avg,AAindex_WILM950103_avg,AAindex_WILM950104_avg,AAindex_KUHL950101_avg,AAindex_JURD980101_avg,AAindex_WOLR790101_avg,AAindex_KIDA850101_avg,AAindex_COWR900101_avg,AAindex_BLAS910101_avg,AAindex_CASG920101_avg,AAindex_ENGD860101_avg,AAindex_FASG890101_avg,class
0.5561,0.8044,0.1015,0.5827,0.0439,0.1408,0.3317,0.376,0.1338,0.3118,0.492,0.0604,0.1423,0.2195,0.2267,0.1653,0.379,0.0678,0.3042,0.3831,0.4165,0.5271,0.3679,0.4575,0.483,0.3095,0.6464,0.4442,0.3769,0.3872,0.6095,0.5598,0.5071,0.495,0.4642,0.4904,0.5755,0.4614,0.4593,0.4764,0.4446,0.5056,0.4239,0.4557,0.5578,0.3392,0.744,0.4928,0.5067,0.5205,0.6282,0.4492,0.3625,0.5701,0.48,0.4937,0.4361,0.6456,0.6378,0.4442,0.5198,0.5351,0.3651,0.2582,0.4437,0.2732,0.2595,0.6566,0.2078,0.4157,0.5118,0.4277,0.5321,0.4771,0.2258,0.6962,0.4181,0.4924,0.5745,0.4599,0.3521,0.4942,0.6277,0.5262,C
0.381,0.256,0.2085,0.3462,0.1565,0.1004,0.4224,0.4435,0.0795,0.2757,0.2516,0.287,0.3383,0.2992,0.221,0.3929,0.3685,0.2414,0.4826,0.3214,0.4954,0.5271,0.5308,0.4914,0.483,0.4792,0.36,0.4511,0.4439,0.4378,0.4928,0.4573,0.5523,0.4945,0.4814,0.5161,0.4718,0.459,0.4366,0.5063,0.4081,0.3276,0.483,0.5355,0.6095,0.4488,0.5265,0.4844,0.5067,0.5212,0.4395,0.5035,0.4876,0.5926,0.48,0.6068,0.4352,0.5239,0.5505,0.4801,0.5198,0.5351,0.3594,0.4389,0.5139,0.4697,0.4178,0.7316,0.7245,0.4239,0.4963,0.3707,0.454,0.4771,0.3297,0.5313,0.4614,0.5635,0.4908,0.4487,0.4761,0.5307,0.4394,0.5576,C
0.381,0.3559,0.2287,0.2552,0,0.2214,0.4804,0.3425,0.0502,0.3118,0.3286,0.4986,0.2672,0.6182,0.2513,0.1862,0.2329,0.2288,0.6098,0.33,0.7791,0.3364,0.6198,0.6112,0.4214,0.5357,0.6425,0.4327,0.4646,0.7226,0.4864,0.4865,0.3604,0.7801,0.389,0.7495,0.4985,0.4661,0.5244,0.6855,0.6074,0.847,0.4422,0.1313,0.1499,0.4488,0.4289,0.4953,0.5067,0.4769,0.5997,0.4492,0.5817,0.4974,0.3953,0.3568,0.6403,0.53,0.5948,0.7797,0.6844,0.5351,0.3651,0.6156,0.4265,0.4826,0.4266,0.6284,0.6295,0.7054,0.5008,0.5599,0.5321,0.4771,0.5404,0.5655,0.3968,0.4924,0.5377,0.454,0.5216,0.4768,0.5997,0.5377,C
0.2767,0.2858,0.3536,0.6443,0,0.4484,0.2829,0.3301,0.1776,0.5645,0.4486,0.1202,0.1889,0.2992,0.2267,0.1645,0.3428,0.4044,0.1796,0.3588,0.4954,0.5271,0.5427,0.5415,0.483,0.493,0.3534,0.4985,0.5094,0.5171,0.4672,0.4002,0.6013,0.5122,0.4902,0.4591,0.418,0.4661,0.5445,0.5179,0.439,0.517,0.4091,0.3494,0.4024,0.7227,0.498,0.5685,0.5067,0.547,0.5021,0.4557,0.5997,0.4026,0.48,0.5779,0.6097,0.5458,0.5292,0.516,0.5062,0.5014,0.3939,0.3165,0.3822,0.4697,0.583,0.7076,0.7189,0.408,0.6091,0.4446,0.5414,0.5373,0.4136,0.5604,0.4917,0.4848,0.5033,0.5198,0.4501,0.5746,0.5017,0.4219,C
0.1923,0.4053,0.1053,0.3762,0.0365,0.187,0.3584,0.6424,0.2221,0.4708,0.2825,0.2839,0.3151,0.2733,0.2057,0.2515,0.3431,0.1687,0.3042,0.3146,0.5554,0.487,0.3802,0.5578,0.5201,0.4984,0.4723,0.5549,0.4829,0.495,0.4609,0.4522,0.5704,0.5555,0.5199,0.6181,0.4738,0.5766,0.5354,0.55,0.3888,0.4926,0.4669,0.451,0.5693,0.5465,0.4295,0.6063,0.5067,0.5959,0.4652,0.4954,0.531,0.5464,0.5276,0.583,0.628,0.5239,0.5184,0.5461,0.5708,0.5112,0.2326,0.3757,0.6136,0.4953,0.4683,0.6566,0.6056,0.4958,0.5913,0.4619,0.5321,0.4209,0.5116,0.4579,0.5165,0.546,0.5105,0.4788,0.4836,0.5778,0.465,0.4639,C
0.381,0.2379,0.2085,0.419,0.0909,0.2214,0.3802,0.5867,0.0231,0.3604,0.3094,0.2188,0.2339,0.3409,0.2267,0.3138,0.3745,0.1402,0.5139,0.28,0.4853,0.515,0.5692,0.4829,0.5724,0.5019,0.3066,0.4625,0.4719,0.4672,0.4861,0.4137,0.5979,0.4859,0.5135,0.5292,0.4313,0.4661,0.4718,0.5492,0.3934,0.3449,0.4669,0.5318,0.6255,0.5179,0.5573,0.4934,0.5067,0.5215,0.4136,0.4492,0.5316,0.659,0.5834,0.535,0.5,0.5239,0.5255,0.4928,0.5198,0.4531,0.3651,0.5751,0.5849,0.4704,0.4588,0.6566,0.7491,0.4529,0.5118,0.4446,0.5321,0.3722,0.352,0.4972,0.4614,0.6129,0.4552,0.4487,0.5142,0.5569,0.4136,0.5121,C
0.3916,0.3361,0.209,0.3087,0.1141,0.2214,0.3389,0.376,0.3286,0.3118,0.3856,0.1744,0.2339,0.2992,0.2267,0.3497,0.3435,0.0587,0.2542,0.3027,0.4951,0.5271,0.407,0.4914,0.5343,0.5232,0.356,0.4625,0.4992,0.4761,0.4467,0.3988,0.6067,0.4954,0.5076,0.5676,0.4087,0.4661,0.4746,0.5125,0.379,0.3607,0.4669,0.4614,0.5228,0.5212,0.5523,0.5575,0.5641,0.5678,0.4261,0.4492,0.5228,0.4974,0.48,0.535,0.5704,0.4652,0.5501,0.5056,0.5374,0.5351,0.3651,0.4625,0.5701,0.5031,0.5112,0.6566,0.6728,0.4838,0.5118,0.4715,0.5484,0.5258,0.387,0.4836,0.4614,0.5507,0.4635,0.4487,0.4501,0.5822,0.4259,0.4503,C
0.3572,0.2953,0.3623,0.3328,0.2758,0.2894,0.3247,0.3788,0.3056,0.2797,0.439,0.1379,0.2167,0.2507,0.0849,0.4247,0.3935,0.0387,0.2834,0.3217,0.3329,0.5271,0.5613,0.4666,0.5055,0.4792,0.3155,0.4608,0.4699,0.3593,0.4188,0.3875,0.5402,0.495,0.502,0.3906,0.4252,0.5018,0.4977,0.4828,0.3749,0.3039,0.451,0.4857,0.5262,0.4908,0.5651,0.5566,0.5067,0.589,0.4244,0.4531,0.5013,0.4979,0.4642,0.5261,0.4963,0.5482,0.5596,0.3486,0.5198,0.4936,0.5126,0.5036,0.5586,0.4987,0.5493,0.6953,0.6966,0.3466,0.5637,0.4458,0.5321,0.5968,0.4405,0.5457,0.5042,0.5009,0.502,0.4487,0.428,0.6041,0.424,0.443,C
0.285,0.2944,0.0867,0.4425,0.1116,0.2694,0.3724,0.3022,0.1829,0.3118,0.7012,0.275,0.1622,0.2992,0.1525,0.3576,0.306,0.0462,0.185,0.3146,0.5362,0.4005,0.5915,0.4914,0.5395,0.525,0.4037,0.564,0.5453,0.5137,0.4928,0.439,0.5993,0.5363,0.5929,0.5875,0.4619,0.6081,0.574,0.5645,0.4424,0.3278,0.4669,0.4282,0.4485,0.4488,0.4212,0.4953,0.6381,0.6339,0.4478,0.5383,0.5067,0.4915,0.48,0.6291,0.501,0.4651,0.4497,0.4966,0.6011,0.5351,0.2088,0.2965,0.5156,0.4697,0.6812,0.7159,0.714,0.5559,0.6052,0.4446,0.6381,0.4771,0.4136,0.4722,0.595,0.5738,0.4599,0.54,0.4501,0.5532,0.4475,0.3921,F
0.5631,0.5549,0.1107,0.2824,0.0821,0.2281,0.2953,0.6373,0.2501,0.3118,0.4955,0.0502,0.3252,0.1824,0.2267,0.2231,0.3005,0.1266,0.3655,0.2246,0.4954,0.5271,0.3542,0.5092,0.483,0.4792,0.4125,0.5265,0.4954,0.4291,0.5074,0.3875,0.6395,0.4385,0.4642,0.6018,0.4013,0.4661,0.5231,0.5133,0.3071,0.2777,0.3718,0.5104,0.6367,0.4488,0.6408,0.5509,0.5679,0.5844,0.4117,0.4923,0.4692,0.4974,0.5074,0.5999,0.5394,0.4536,0.5501,0.4626,0.5198,0.5334,0.2834,0.4005,0.605,0.4697,0.3893,0.4606,0.4609,0.4527,0.5118,0.4554,0.6079,0.3855,0.1943,0.5056,0.495,0.4924,0.4233,0.4487,0.4943,0.6114,0.4114,0.4512,C
0.2375,0.3312,0.2085,0.4148,0.1116,0.1804,0.8196,0.376,0.1714,0.3118,0.4056,0.5156,0.4864,0.2992,0.2267,0.3497,0.2648,0.0868,0.2313,0.3146,0.4773,0.5753,0.6291,0.3565,0.2497,0.4792,0.7213,0.2687,0.2505,0.3808,0.6465,0.7583,0.2504,0.4784,0.4642,0.3734,0.7798,0.3218,0.3569,0.4195,0.7272,0.6871,0.7111,0.3406,0.2217,0.341,0.5151,0.3146,0.3067,0.2995,0.8024,0.2264,0.5067,0.4974,0.2717,0.2739,0.381,0.7566,0.7583,0.477,0.393,0.5351,0.2208,0.3934,0.279,0.4697,0.395,0.6566,0.6419,0.4527,0.3084,0.3063,0.5321,0.4103,0.4551,0.8289,0.2509,0.2285,0.7501,0.2818,0.2165,0.2518,0.8021,0.6981,F
0.4696,0.4491,0.1029,0.525,0.1116,0.1794,0.3584,0.4482,0.3616,0.2837,0.3983,0.0699,0.2339,0.2543,0.2267,0.3031,0.2992,0.1176,0.3042,0.3262,0.463,0.5489,0.4171,0.5142,0.5216,0.4826,0.3696,0.5306,0.4925,0.3914,0.4928,0.4344,0.6496,0.4632,0.4642,0.5368,0.4403,0.5085,0.5336,0.5009,0.4424,0.2999,0.393,0.4748,0.5608,0.4488,0.6542,0.5727,0.5912,0.6081,0.4458,0.4583,0.4893,0.6049,0.48,0.6272,0.5256,0.4919,0.5501,0.4636,0.5093,0.5351,0.3651,0.3457,0.5371,0.4533,0.4523,0.5526,0.5548,0.4323,0.5624,0.4248,0.5451,0.5395,0.2983,0.5173,0.5069,0.5313,0.4395,0.5025,0.4406,0.5948,0.4455,0.4324,C
0.2701,0.2139,0.2301,0.3564,0.0853,0.2645,0.3584,0.376,0.13,0.3118,0.3111,0.3845,0.292,0.3199,0.2267,0.3211,0.4463,0.1535,0.4676,0.3146,0.5809,0.4759,0.5438,0.4914,0.483,0.5205,0.4349,0.4265,0.4556,0.5711,0.5168,0.4514,0.4583,0.5817,0.4167,0.6016,0.464,0.4256,0.4746,0.5179,0.4424,0.5544,0.4669,0.3844,0.401,0.418,0.4549,0.4953,0.5067,0.4624,0.4937,0.459,0.5549,0.4042,0.4721,0.4954,0.501,0.5248,0.5695,0.593,0.5565,0.5351,0.3651,0.5059,0.4844,0.521,0.5199,0.7701,0.7715,0.4527,0.5118,0.4687,0.5321,0.4771,0.4912,0.5502,0.4195,0.4722,0.5334,0.4487,0.4815,0.4809,0.4936,0.553,F
0.2531,0.2655,0.2085,0.272,0.1107,0.4022,0.3584,0.4645,0.1873,0.3118,0.4241,0.2367,0.1197,0.4304,0.2267,0.4166,0.3473,0.1708,0.4928,0.3146,0.4954,0.5271,0.5983,0.4914,0.4768,0.4873,0.3838,0.4625,0.458,0.455,0.4969,0.4113,0.5141,0.4381,0.4123,0.553,0.4348,0.4661,0.4548,0.5179,0.484,0.499,0.4669,0.3612,0.3883,0.3269,0.5758,0.4515,0.4733,0.4997,0.471,0.4434,0.5067,0.4974,0.4367,0.535,0.5081,0.5396,0.5882,0.4639,0.5198,0.5002,0.303,0.5737,0.5309,0.4288,0.5128,0.7185,0.7154,0.4154,0.4719,0.4976,0.5546,0.4419,0.4136,0.5757,0.4192,0.4632,0.5125,0.4271,0.4501,0.4933,0.4707,0.5333,F
0.381,0.1178,0.2085,0.9291,0,0.9236,0.0971,0.376,0.1829,0.3171,0.1275,0.165,0.9728,0.3,0,0.3497,0.8475,0,0,0.3146,0.4954,0.8125,0.502,0.1621,0.3398,0.4792,0.3262,0.2982,0.2835,0.0901,0.5496,0.5279,0.4634,0.495,0.2615,0.1725,0.5753,0.4661,0.3509,0.3029,0.6003,0.4313,0.6897,0.5804,0.5197,0.2473,0.6321,0.2744,0.3253,0.4051,0.5251,0.2341,0.5067,0.4262,0.4298,0.535,0.3076,0.5239,0.5501,0,0.3047,0.5987,0.2957,0.448,0.6048,0.4206,0.5855,0.8197,0.8372,0,0.5118,0.2809,0.5321,0.4771,0.4136,0.7608,0.2674,0.3166,0.7239,0.2477,0.4501,0.2878,0.5242,0.6486,F
0.2478,0.3072,0.3393,0.4905,0.3913,0.2008,0.2957,0.2956,0.159,0.2068,0.3611,0.269,0.0846,0.2935,0.2267,0.3929,0.4299,0.2414,0.4826,0.3214,0.4556,0.5464,0.7151,0.4693,0.483,0.4149,0.4161,0.4625,0.4393,0.4508,0.4928,0.4497,0.5066,0.4564,0.4642,0.4467,0.4753,0.4218,0.4351,0.5058,0.4944,0.5202,0.4852,0.3793,0.4113,0.3403,0.5869,0.4831,0.5088,0.5229,0.5304,0.4492,0.4858,0.3623,0.48,0.4715,0.4812,0.5239,0.6076,0.4966,0.5198,0.6032,0.4968,0.4548,0.4289,0.4352,0.4748,0.6641,0.6609,0.4527,0.4906,0.4446,0.5321,0.5998,0.4744,0.6089,0.4614,0.3986,0.5315,0.3974,0.4501,0.546,0.5301,0.5054,F
0.4318,0.7138,0.1576,0.4358,0.1116,0.4373,0.1472,0.2289,0,0.1335,0.2988,0.1666,0.2948,0.2273,0.2267,0.2852,0.321,0.4908,0.3042,0.4432,0.5146,0.5829,0.3398,0.4923,0.3309,0.3977,0.636,0.4625,0.4322,0.518,0.6289,0.4661,0.5402,0.495,0.3856,0.6111,0.4758,0.4318,0.4471,0.5164,0.51,0.6856,0.4043,0.3169,0.427,0.2481,0.5898,0.4638,0.5011,0.548,0.5801,0.2978,0.5067,0.3667,0.3473,0.3877,0.4759,0.5239,0.5501,0.4966,0.4948,0.6933,0.2533,0.2265,0.4253,0.2266,0.2807,0.2666,0.28,0.3649,0.5121,0.3972,0.5321,0.3322,0.3702,0.6457,0.3631,0.3191,0.5633,0.4327,0.4501,0.4994,0.5796,0.5515,F
0.6519,0.2887,0.2085,0.1301,0,0.3396,0.4762,0.6667,0,0.3118,0.33,0.1618,0.1908,0.2992,0.1993,0.3497,0.4154,0.1361,0.3042,0.2264,0.4059,0.5768,0.3854,0.4394,0.5975,0.4792,0.3004,0.5038,0.4729,0.4223,0.5277,0.3927,0.625,0.4062,0.5399,0.514,0.4127,0.4969,0.4612,0.5179,0.3465,0.2321,0.4669,0.6178,0.7271,0.5587,0.488,0.4697,0.5067,0.513,0.3555,0.4492,0.481,0.7693,0.5538,0.6523,0.4735,0.4144,0.5163,0.4166,0.5081,0.5351,0.343,0.5989,0.6984,0.4265,0.4198,0.6566,0.7099,0.3729,0.5377,0.4981,0.6029,0.2732,0.2872,0.4836,0.4614,0.6678,0.4639,0.4487,0.5212,0.552,0.3554,0.5389,C
